CLASS,PERCENTAGE
no-mask,96.60517573356628
no-mask,97.43094444274902
no-mask,97.7027416229248
no-mask,98.01905155181885
no-mask,97.71907925605774
no-mask,97.78767824172974
no-mask,97.7679431438446
no-mask,97.5046455860138
no-mask,97.28759527206421
no-mask,31.031030416488647
no-mask,97.33904600143433
no-mask,31.219643354415894
no-mask,97.32559323310852
no-mask,31.26692771911621
no-mask,97.55752682685852
no-mask,30.605599284172058
no-mask,97.15615510940552
no-mask,97.79742360115051
no-mask,33.59367549419403
no-mask,79.814213514328
no-mask,97.91823625564575
no-mask,34.563061594963074
no-mask,81.03575110435486
no-mask,98.03287386894226
half-mask,33.366137742996216
no-mask,41.63585603237152
no-mask,96.53933048248291
no-mask,97.94586300849915
no-mask,87.53575086593628
half-mask,41.19698703289032
no-mask,34.240445494651794
no-mask,97.68542051315308
half-mask,39.581501483917236
no-mask,31.759971380233765
no-mask,97.98370003700256
half-mask,30.94506859779358
no-mask,98.10634851455688
half-mask,33.48960876464844
no-mask,98.08002710342407
no-mask,98.3599603176117
no-mask,97.72683382034302
no-mask,97.55810499191284
no-mask,97.28097319602966
no-mask,96.88594937324524
no-mask,94.28062438964844
no-mask,91.44951701164246
no-mask,94.53378319740295
no-mask,93.87668967247009
no-mask,94.25432682037354
no-mask,95.92421054840088
no-mask,96.42075300216675
no-mask,97.13994860649109
no-mask,96.90619707107544
no-mask,97.38055467605591
no-mask,97.65543341636658
no-mask,98.02343249320984
no-mask,98.09865951538086
no-mask,98.1679618358612
no-mask,98.19021224975586
no-mask,98.00309538841248
no-mask,97.84741997718811
no-mask,97.17074632644653
no-mask,97.22917079925537
no-mask,96.92491888999939
no-mask,96.37340307235718
no-mask,96.49603366851807
no-mask,97.13967442512512
no-mask,97.15445637702942
no-mask,97.81252145767212
no-mask,97.51947522163391
no-mask,96.41287922859192
no-mask,96.59003615379333
no-mask,97.1104085445404
no-mask,97.06791043281555
no-mask,97.15416431427002
no-mask,97.81389236450195
no-mask,97.62070775032043
no-mask,97.39410877227783
no-mask,97.2294807434082
no-mask,97.12786078453064
no-mask,96.72755599021912
no-mask,96.75918221473694
no-mask,96.66991233825684
no-mask,97.20773100852966
no-mask,97.68195152282715
no-mask,97.73828387260437
no-mask,98.39277267456055
no-mask,98.19959998130798
no-mask,98.1701135635376
no-mask,98.0558693408966
no-mask,97.7843165397644
no-mask,97.46805429458618
no-mask,97.20698595046997
no-mask,96.25240564346313
no-mask,95.56320905685425
no-mask,94.17951107025146
no-mask,94.66665387153625
no-mask,94.05338168144226
no-mask,97.29567170143127
no-mask,95.92989683151245
no-mask,97.38171696662903
no-mask,97.32642769813538
no-mask,97.30790257453918
no-mask,95.81022262573242
no-mask,97.31544256210327
no-mask,98.14713597297668
half-mask,30.93273937702179
no-mask,98.38036298751831
half-mask,36.08736991882324
no-mask,98.61664772033691
half-mask,47.542741894721985
no-mask,98.7689733505249
no-mask,98.77766966819763
no-mask,98.59486818313599
no-mask,98.19366931915283
no-mask,98.26862215995789
no-mask,98.10538291931152
no-mask,98.24560880661011
no-mask,97.8431224822998
no-mask,97.90895581245422
no-mask,97.87776470184326
no-mask,97.82285690307617
no-mask,97.84415364265442
no-mask,98.13891053199768
no-mask,98.31188321113586
no-mask,98.3838438987732
no-mask,98.377126455307
no-mask,98.39463829994202
no-mask,98.21620583534241
no-mask,98.02011251449585
no-mask,98.10505509376526
no-mask,97.61875867843628
no-mask,96.28890752792358
no-mask,93.46211552619934
no-mask,97.3469078540802
no-mask,97.39016890525818
no-mask,97.65809774398804
no-mask,97.61988520622253
no-mask,97.53298759460449
no-mask,97.39315509796143
no-mask,97.43778705596924
no-mask,97.51496315002441
no-mask,97.46438264846802
no-mask,97.55234718322754
no-mask,97.62916564941406
no-mask,97.73693680763245
no-mask,97.76544570922852
no-mask,97.81100749969482
no-mask,97.8356420993805
no-mask,98.01406860351562
no-mask,98.02687764167786
no-mask,98.01653623580933
no-mask,98.00716042518616
no-mask,97.99124598503113
no-mask,98.0569064617157
no-mask,98.05697798728943
no-mask,98.22396636009216
no-mask,98.39339852333069
no-mask,98.20448756217957
no-mask,98.3319878578186
no-mask,98.45531582832336
no-mask,98.56579899787903
no-mask,98.49635362625122
no-mask,98.48501086235046
no-mask,98.54048490524292
no-mask,98.54581356048584
no-mask,98.5333502292633
no-mask,98.62332940101624
no-mask,98.43214750289917
no-mask,95.02207040786743
half-mask,46.38740420341492
no-mask,31.79583251476288
no-mask,94.65287327766418
half-mask,48.38805794715881
no-mask,32.24846422672272
no-mask,73.26624393463135
no-mask,39.940282702445984
half-mask,30.056750774383545
half-mask,30.80042004585266
half-mask,31.57498836517334
half-mask,31.16920292377472
with-mask,32.8536331653595
half-mask,32.47460424900055
with-mask,38.47527205944061
half-mask,35.69357395172119
half-mask,32.56806135177612
with-mask,33.73546302318573
half-mask,36.63966655731201
half-mask,42.93026030063629
no-mask,31.719481945037842
half-mask,51.37737989425659
no-mask,36.83689534664154
half-mask,51.23172998428345
no-mask,32.608386874198914
half-mask,46.33146524429321
no-mask,31.389734148979187
half-mask,39.46351110935211
half-mask,41.08735918998718
half-mask,46.71063423156738
half-mask,39.854735136032104
half-mask,41.73208475112915
half-mask,39.026764035224915
with-mask,33.136650919914246
half-mask,37.91665434837341
with-mask,31.453698873519897
half-mask,39.27199840545654
half-mask,36.319613456726074
with-mask,37.62637972831726
with-mask,36.75474524497986
with-mask,49.330997467041016
half-mask,33.60854387283325
with-mask,37.55166828632355
half-mask,33.29657018184662
with-mask,42.531365156173706
with-mask,44.51367259025574
half-mask,31.710463762283325
with-mask,44.99917924404144
half-mask,32.684969902038574
with-mask,40.80789387226105
half-mask,33.46727788448334
with-mask,41.218167543411255
half-mask,33.86291861534119
with-mask,44.73045766353607
half-mask,32.573261857032776
with-mask,42.3107773065567
half-mask,36.49469614028931
with-mask,48.459193110466
half-mask,31.111636757850647
with-mask,53.959476947784424
with-mask,53.213006258010864
with-mask,54.255664348602295
half-mask,30.76338768005371
with-mask,52.31678485870361
half-mask,31.198224425315857
with-mask,50.40591359138489
half-mask,32.98730552196503
with-mask,50.407034158706665
half-mask,35.06722450256348
with-mask,46.7005580663681
half-mask,35.073283314704895
with-mask,46.76840305328369
half-mask,34.92841422557831
with-mask,47.597235441207886
half-mask,34.42094027996063
with-mask,46.79310619831085
half-mask,33.93694758415222
with-mask,48.0854868888855
half-mask,33.81930589675903
with-mask,48.119208216667175
half-mask,34.895843267440796
with-mask,47.44655787944794
half-mask,33.626967668533325
with-mask,48.42469096183777
half-mask,31.726235151290894
with-mask,50.55844187736511
half-mask,32.954081892967224
with-mask,47.83145189285278
half-mask,33.04996192455292
with-mask,47.56595194339752
half-mask,33.47207307815552
with-mask,45.613810420036316
half-mask,34.6190482378006
with-mask,44.29132640361786
half-mask,35.5226993560791
with-mask,43.12864542007446
half-mask,36.45433783531189
with-mask,43.07548701763153
half-mask,37.48161792755127
with-mask,40.6264990568161
half-mask,39.25615847110748
with-mask,38.8327419757843
half-mask,39.625415205955505
with-mask,38.708531856536865
half-mask,39.06013369560242
with-mask,40.25754630565643
half-mask,39.58558142185211
with-mask,38.59318494796753
half-mask,39.27384316921234
with-mask,38.310131430625916
half-mask,37.60527968406677
with-mask,39.494118094444275
half-mask,38.49367797374725
with-mask,38.98829221725464
half-mask,37.63355016708374
with-mask,39.33928608894348
half-mask,39.82204794883728
with-mask,37.750983238220215
half-mask,40.5358225107193
with-mask,35.760411620140076
half-mask,41.992852091789246
with-mask,34.17772352695465
half-mask,43.18486452102661
with-mask,32.795047760009766
half-mask,42.661091685295105
with-mask,33.548492193222046
